
carpet : {'img_auc': 0.9931781701444622, 'pixel_auc': 0.9887721877149451, 'Fps': 117.78628457941997}
grid : {'img_auc': 0.9799498746867168, 'pixel_auc': 0.9773608410418062, 'Fps': 112.66783507870032}
leather : {'img_auc': 1.0, 'pixel_auc': 0.9902071077098742, 'Fps': 120.92982905836692}
bottle : {'img_auc': 1.0, 'pixel_auc': 0.9816921446537318, 'Fps': 116.72505419017058}
cable : {'img_auc': 0.995127436281859, 'pixel_auc': 0.9845724032940376, 'Fps': 109.89011491894459}
cable : {'img_auc': 0.995127436281859, 'pixel_auc': 0.9845724032940376, 'Fps': 95.5527710405663}
wood : {'img_auc': 0.987719298245614, 'pixel_auc': 0.9395408363837737, 'Fps': 111.81477246557094}
capsule : {'img_auc': 0.9856402074192261, 'pixel_auc': 0.9889758866873205, 'Fps': 114.38026723608833}
wood : {'img_auc': 0.9929824561403509, 'pixel_auc': 0.9396329515556986, 'Fps': 107.50720564780448}
hazelnut : {'img_auc': 1.0, 'pixel_auc': 0.9853486268874248, 'Fps': 104.16143656525507}
metal_nut : {'img_auc': 1.0, 'pixel_auc': 0.9809602112886688, 'Fps': 112.0183469162933}
pill : {'img_auc': 0.9590834697217675, 'pixel_auc': 0.9780174680194157, 'Fps': 111.80209811718633}
screw : {'img_auc': 0.959007993441279, 'pixel_auc': 0.990189197749435, 'Fps': 109.14877199888}
toothbrush : {'img_auc': 1.0, 'pixel_auc': 0.9870622325791706, 'Fps': 123.24790824563463}
transistor : {'img_auc': 1.0, 'pixel_auc': 0.981200476235928, 'Fps': 112.31169856998325}
zipper : {'img_auc': 0.9952731092436975, 'pixel_auc': 0.985479061341995, 'Fps': 118.89905170033879}
screw : {'img_auc': 0.959007993441279, 'pixel_auc': 0.990189197749435, 'Fps': 98.61545652220501}
tile : {'img_auc': 0.988095238095238, 'pixel_auc': 0.9512678543306139, 'Fps': 97.38288076896274}
